datetime_local,weekday,hour_local,consumption_hourly,date_local,segment,season,is_weekend,is_holiday,month_num,EE_avg_temp_C,bias_key,bias_factor,yhat_base,yhat_consumption
2025-09-24 00:00:00+03:00,Wednesday,0,785.3450860858392,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 01:00:00+03:00,Wednesday,1,755.6735857024349,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 02:00:00+03:00,Wednesday,2,734.1053145771148,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 03:00:00+03:00,Wednesday,3,728.822151750461,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 04:00:00+03:00,Wednesday,4,733.8639649910125,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 05:00:00+03:00,Wednesday,5,752.4940915316757,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 06:00:00+03:00,Wednesday,6,868.9561701072389,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 07:00:00+03:00,Wednesday,7,999.7512135647878,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 08:00:00+03:00,Wednesday,8,1059.0719354266926,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 09:00:00+03:00,Wednesday,9,1043.7850328952022,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 10:00:00+03:00,Wednesday,10,1030.2677621457904,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 11:00:00+03:00,Wednesday,11,1063.5801913542282,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 12:00:00+03:00,Wednesday,12,1047.2204835276505,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 13:00:00+03:00,Wednesday,13,1068.873449515737,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 14:00:00+03:00,Wednesday,14,1013.9365080625033,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 15:00:00+03:00,Wednesday,15,969.2179661436684,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 16:00:00+03:00,Wednesday,16,933.1981965847108,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 17:00:00+03:00,Wednesday,17,939.8864052236579,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 18:00:00+03:00,Wednesday,18,956.0780578461663,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 19:00:00+03:00,Wednesday,19,978.7888322043497,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 20:00:00+03:00,Wednesday,20,977.6157562289972,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 21:00:00+03:00,Wednesday,21,966.4951361410691,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 22:00:00+03:00,Wednesday,22,907.8719849659865,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-24 23:00:00+03:00,Wednesday,23,830.2407234230241,2025-09-24,workday,autumn,False,False,9,9.4,workday:autumn,1.00824,21964.17,22145.14
2025-09-25 00:00:00+03:00,Thursday,0,773.3970749824409,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
2025-09-25 01:00:00+03:00,Thursday,1,733.8597395974659,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
2025-09-25 02:00:00+03:00,Thursday,2,719.3563931188594,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
2025-09-25 03:00:00+03:00,Thursday,3,719.7925453446026,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
2025-09-25 04:00:00+03:00,Thursday,4,727.0272990490514,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
2025-09-25 05:00:00+03:00,Thursday,5,747.025622107356,2025-09-25,workday,autumn,False,False,9,9.52,workday:autumn,1.00824,21918.73,22099.33
