datetime_local,weekday,hour_local,consumption_hourly,date_local,segment,season,is_weekend,is_holiday,month_num,EE_avg_temp_C,bias_key,bias_factor,yhat_base,yhat_consumption
2025-10-01 00:00:00+03:00,Wednesday,0,873.9200111974891,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 01:00:00+03:00,Wednesday,1,837.1087459966567,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 02:00:00+03:00,Wednesday,2,818.3703094059186,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 03:00:00+03:00,Wednesday,3,814.2078854885104,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 04:00:00+03:00,Wednesday,4,821.1669724160341,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 05:00:00+03:00,Wednesday,5,840.1746229264676,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 06:00:00+03:00,Wednesday,6,972.6082223318643,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 07:00:00+03:00,Wednesday,7,1114.164740351757,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 08:00:00+03:00,Wednesday,8,1172.2950789388262,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 09:00:00+03:00,Wednesday,9,1128.9237925696873,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 10:00:00+03:00,Wednesday,10,1075.993221188721,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
2025-10-01 11:00:00+03:00,Wednesday,11,1100.2733870659897,2025-10-01,workday,autumn,False,False,10,6.66,workday:autumn,1.040534,23055.64,23990.17
