datetime_local,weekday,hour_local,consumption_hourly,date_local,segment,season,is_weekend,is_holiday,month_num,EE_avg_temp_C,bias_key,bias_factor,yhat_base,yhat_consumption
2025-09-26 00:00:00+03:00,Friday,0,789.8638520569406,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 01:00:00+03:00,Friday,1,734.7038512937975,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 02:00:00+03:00,Friday,2,712.9204339918624,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 03:00:00+03:00,Friday,3,712.0600202081017,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 04:00:00+03:00,Friday,4,721.1641018526765,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 05:00:00+03:00,Friday,5,746.4895603034473,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 06:00:00+03:00,Friday,6,833.2575916725569,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 07:00:00+03:00,Friday,7,957.9405309599783,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 08:00:00+03:00,Friday,8,1031.1559232498503,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 09:00:00+03:00,Friday,9,1044.7424433822102,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 10:00:00+03:00,Friday,10,1026.8314681694133,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 11:00:00+03:00,Friday,11,1060.8969397911867,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 12:00:00+03:00,Friday,12,1044.4045631725048,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
2025-09-26 13:00:00+03:00,Friday,13,1044.1275094235182,2025-09-26,workday,autumn,False,False,9,11.85,workday:autumn,1.04084,20966.61,21822.88
