Aeg, Temperatuur
2025-09-06 12:05:00, 21.7278114478
2025-09-06 12:10:00, 22.3331986532
2025-09-06 12:15:00, 22.4218333333
2025-09-06 12:20:00, 22.522218543
2025-09-06 12:25:00, 22.7227574751
2025-09-06 12:30:00, 23.0809
2025-09-06 12:35:00, 23.2230100334
2025-09-06 12:40:00, 23.0823411371
2025-09-06 12:45:00, 22.9102317881
2025-09-06 12:50:00, 23.0738283828
2025-09-06 12:55:00, 23.1697993311
2025-09-06 13:00:00, 23.412996633
2025-09-06 13:05:00, 23.5848494983
2025-09-06 13:10:00, 23.6312040134
2025-09-06 13:15:00, 23.9271917808
2025-09-06 13:20:00, 23.7537755102
2025-09-06 13:25:00, 23.8384228188
2025-09-06 13:30:00, 24.0251162791
2025-09-06 13:35:00, 24.057090301
2025-09-06 13:40:00, 24.3793243243
2025-09-06 13:45:00, 24.3651525424
2025-09-06 13:50:00, 24.4050853242
2025-09-06 13:55:00, 24.0883892617
2025-09-06 14:00:00, 24.2367676768
2025-09-06 14:05:00, 24.4441946309
2025-09-06 14:10:00, 24.2102333333
2025-09-06 14:15:00, 24.0329431438
2025-09-06 14:20:00, 24.0353535354
2025-09-06 14:25:00, 24.1118791946
2025-09-06 14:30:00, 24.3127210884
2025-09-06 14:35:00, 24.3044594595
2025-09-06 14:40:00, 23.8171959459
2025-09-06 14:45:00, 23.8683501684
2025-09-06 14:50:00, 24.0617449664
2025-09-06 14:55:00, 24.1727586207
2025-09-06 15:00:00, 24.4087837838
2025-09-06 15:05:00, 24.0625589226
2025-09-06 15:10:00, 23.5172635135
2025-09-06 15:15:00, 23.2286824324
2025-09-06 15:20:00, 23.0422297297
2025-09-06 15:25:00, 23.2157666667
2025-09-06 15:30:00, 22.9697288136
2025-09-06 15:35:00, 23.350170068
2025-09-06 15:40:00, 23.1357627119
2025-09-06 15:45:00, 23.2991156463
2025-09-06 15:50:00, 23.394527027
2025-09-06 15:55:00, 23.3796610169
2025-09-06 16:00:00, 23.6897966102
