datetime_hour;Tarbimine;elering_forecast;consumption_hourly;viga;viga_protsent;viga_vs_elering_forecast;viga_vs_elering_forecast_protsent;viga_actual_vs_elering_forecast;viga_actual_vs_elering_forecast_protsent;Ajatempel (UTC)
2025-09-18 07:00:00;1023.6;979.575;965.9154409;-57.6845591;-5.635459075810864;-13.659559100000024;-1.3944372916826198;44.02499999999998;4.494295995712425;1758178800
2025-09-18 08:00:00;1046.4;959.9;962.8427825;-83.55721750000009;-7.985208094418969;2.942782500000021;0.30657177831024285;86.50000000000011;9.011355349515586;1758182400
2025-09-18 09:00:00;997.3;947.025;952.2768722;-45.0231278;-4.514501935225108;5.25187219999998;0.5545653177054439;50.27499999999998;5.308729970169741;1758186000
2025-09-18 10:00:00;978.8;987.95;967.8688719;-10.93112809999991;-1.116788731099296;-20.0811281;-2.0326057087909306;-9.150000000000091;-0.9261602307809191;1758189600
2025-09-18 11:00:00;888.6;992.825;955.592027;66.99202700000001;7.539053229799686;-37.232973000000015;-3.7502050210258617;-104.22500000000002;-10.497821871931107;1758193200
2025-09-18 12:00:00;867.5;1000.725;927.6908534;60.19085340000004;6.938426904899139;-73.03414659999999;-7.298123520447674;-133.22500000000002;-13.312848185065828;1758196800
2025-09-18 13:00:00;842.7;959.475;897.864619;55.1646189999999;6.546175269965575;-61.610381000000075;-6.421259647202905;-116.77499999999998;-12.170718361604001;1758200400
2025-09-18 14:00:00;853.5;942.15;902.1452768;48.64527680000003;5.699505190392505;-40.004723199999944;-4.246109770206437;-88.64999999999998;-9.40932972456615;1758204000
2025-09-18 15:00:00;886.2;945.725;888.4164723;2.216472299999964;0.25010971563980633;-57.30852770000001;-6.059745454545456;-59.52499999999998;-6.294112982103675;1758207600
2025-09-18 16:00:00;915.6;920.25;884.2223831;-31.37761690000002;-3.427000535168198;-36.0276169;-3.9149814615593588;-4.649999999999977;-0.50529747351263;1758211200
2025-09-18 17:00:00;906.7;915.975;874.9005271;-31.79947290000007;-3.5071658652255504;-41.074472900000046;-4.484235148339207;-9.274999999999977;-1.012582221130487;1758214800
2025-09-18 18:00:00;876.0;880.125;866.6165348;-9.383465200000046;-1.0711718264840235;-13.508465200000046;-1.5348348473228286;-4.125;-0.4686834256497657;1758218400
2025-09-18 19:00:00;809.1;828.775;829.2756461;20.175646099999994;2.4935911630206395;0.50064610000004;0.060407963560681725;-19.674999999999955;-2.3739857017887793;1758222000
2025-09-18 20:00:00;740.1;723.425;763.7648186;23.66481859999999;3.197516362653694;40.33981860000006;5.576226782320221;16.675000000000068;2.305007429934004;1758225600
2025-09-18 21:00:00;724.3;694.7;728.6600905;4.360090500000069;0.6019730084219342;33.96009049999998;4.888454080898226;29.59999999999991;4.260832013818901;1758229200
2025-09-18 22:00:00;668.0;653.175;680.0407442;12.04074419999995;1.8025066167664594;26.865744199999995;4.113100501397022;14.825000000000045;2.269682703716469;1758232800
2025-09-18 23:00:00;627.0;615.475;664.3449023;37.344902299999944;5.956124768740023;48.86990229999992;7.940192907916637;11.524999999999977;1.8725374710589344;1758236400
