avg_day_temp_date,hour_day_value
2023-09-16,14.85142857142857
2023-09-17,13.340000000000002
2023-09-18,10.7425
2023-09-19,15.466666666666667
2023-09-20,15.925833333333332
2023-09-21,17.495
2023-09-22,18.013333333333332
2023-09-23,16.94666666666667
2023-09-24,14.444166666666668
2023-09-25,12.363333333333332
2023-09-26,13.604999999999999
2023-09-27,15.148333333333333
2023-09-28,16.196666666666665
2023-09-29,16.883333333333333
2023-09-30,15.546666666666667
2023-10-01,12.826666666666668
2023-10-02,11.832500000000001
2023-10-03,13.904166666666667
2023-10-04,12.731666666666667
2023-10-05,10.071666666666667
2023-10-06,8.0
2023-10-07,9.188333333333333
2023-10-08,4.985
2023-10-09,4.611666666666667
2023-10-10,4.735
2023-10-11,10.32
2023-10-12,10.568333333333333
2023-10-13,8.94
2023-10-14,11.955
2023-10-15,8.138333333333334
2023-10-16,5.2125
2023-10-17,6.06
2023-10-18,4.314166666666667
2023-10-19,1.4749999999999999
2023-10-20,1.9866666666666666
2023-10-21,1.3008333333333333
2023-10-22,3.6383333333333336
2023-10-23,4.9158333333333335
2023-10-24,3.5816666666666666
2023-10-25,0.3116666666666667
2023-10-26,-0.5025000000000001
2023-10-27,-0.3475
2023-10-28,0.1575
2023-10-29,0.7624
2023-10-30,1.055
2023-10-31,4.984166666666667
2023-11-01,7.6025
2023-11-02,4.1625
2023-11-03,5.86
2023-11-04,7.680833333333333
2023-11-05,6.933333333333334
2023-11-06,7.089166666666666
2023-11-07,7.401666666666666
2023-11-08,6.580000000000001
2023-11-09,6.5008333333333335
2023-11-10,6.433333333333334
2023-11-11,5.705000000000001
2023-11-12,5.220833333333333
2023-11-13,2.6133333333333333
2023-11-14,1.1933333333333334
2023-11-15,0.7933333333333333
2023-11-16,-1.0333333333333334
2023-11-17,-2.964166666666667
2023-11-18,-3.5525
2023-11-19,-1.9408333333333332
2023-11-20,-2.5516666666666667
2023-11-21,-3.7275000000000005
2023-11-22,-4.769166666666667
2023-11-23,1.0825
2023-11-24,-0.4583333333333333
2023-11-25,-4.786666666666666
2023-11-26,-8.774166666666666
2023-11-27,-6.381666666666667
2023-11-28,-5.050833333333333
2023-11-29,-5.7425
2023-11-30,-3.8783333333333334
2023-12-01,-4.3425
2023-12-02,-5.219166666666667
2023-12-03,-5.94
2023-12-04,-8.140833333333333
2023-12-05,-8.845833333333333
2023-12-06,-9.430833333333334
2023-12-07,-7.7058333333333335
2023-12-08,-8.509166666666667
2023-12-09,-9.025
2023-12-10,-6.21
2023-12-11,-5.079166666666667
2023-12-12,-3.3475
2023-12-13,-1.9358333333333333
2023-12-14,-2.3508333333333336
2023-12-15,-2.8941666666666666
2023-12-16,0.015833333333333328
2023-12-17,3.1016666666666666
2023-12-18,3.4608333333333334
2023-12-19,3.8575
2023-12-20,1.3433333333333335
2023-12-21,0.5683333333333334
2023-12-22,0.9049999999999999
2023-12-23,-0.30083333333333334
2023-12-24,-1.1208333333333333
2023-12-25,-1.845
2023-12-26,-1.9525
2023-12-27,-1.6033333333333335
2023-12-28,-1.1591666666666667
2023-12-29,1.6050000000000002
2023-12-30,1.795
2023-12-31,-5.680833333333333
2024-01-01,-10.088333333333333
2024-01-02,-16.614166666666666
2024-01-03,-18.338333333333335
2024-01-04,-18.723333333333333
2024-01-05,-16.211666666666666
2024-01-06,-17.323333333333334
2024-01-07,-18.035833333333333
2024-01-08,-8.736666666666666
2024-01-09,-0.07083333333333332
2024-01-10,1.3775000000000002
2024-01-11,-2.245833333333333
2024-01-12,-7.108333333333333
2024-01-13,-11.006666666666666
2024-01-14,-8.135
2024-01-15,-6.9675
2024-01-16,-10.6975
2024-01-17,-10.009166666666667
2024-01-18,-5.884166666666666
2024-01-19,-4.536666666666666
2024-01-20,-9.665000000000001
2024-01-21,-6.059166666666666
2024-01-22,-0.31
2024-01-23,2.6833333333333336
2024-01-24,1.4749999999999999
2024-01-25,0.38999999999999996
2024-01-26,-3.7066666666666666
2024-01-27,-2.7575000000000003
2024-01-28,0.4891666666666667
2024-01-29,2.3658333333333332
2024-01-30,0.9466666666666667
2024-01-31,1.4558333333333333
2024-02-01,1.8558333333333332
2024-02-02,-0.22916666666666666
2024-02-03,1.6325
2024-02-04,0.7641666666666667
2024-02-05,-1.58
2024-02-06,-3.814166666666667
2024-02-07,-7.021666666666667
2024-02-08,-8.784166666666666
2024-02-09,-11.400833333333333
2024-02-10,-10.660833333333334
2024-02-11,-7.168333333333333
2024-02-12,-4.8966666666666665
2024-02-13,-3.3524999999999996
2024-02-14,-1.5716666666666665
2024-02-15,-0.0666666666666667
2024-02-16,0.9191666666666668
2024-02-17,2.0858333333333334
2024-02-18,-2.1683333333333334
2024-02-19,-2.779166666666667
2024-02-20,-1.5858333333333334
2024-02-21,-0.6308333333333334
2024-02-22,1.4016666666666666
2024-02-23,3.061666666666667
2024-02-24,3.0224999999999995
2024-02-25,2.6341666666666668
2024-02-26,2.345
2024-02-27,1.2591666666666665
2024-02-28,1.0366666666666668
2024-02-29,0.7133333333333334
2024-03-01,0.87
2024-03-02,2.035833333333333
2024-03-03,2.1508333333333334
2024-03-04,1.0791666666666668
2024-03-05,0.07666666666666666
2024-03-06,-1.3941666666666668
2024-03-07,-2.2925
2024-03-08,-2.2533333333333334
2024-03-09,-1.9108333333333334
2024-03-10,-2.424166666666667
2024-03-11,-0.5358333333333333
2024-03-12,0.7483333333333334
2024-03-13,1.45
2024-03-14,3.861666666666667
2024-03-15,5.8999999999999995
2024-03-16,5.730833333333333
2024-03-17,1.95
