datetime_hour;Ajatempel (UTC);Tarbimine;consumption_hourly;elering_forecast;our_day;src
2025-09-20 18:00:00;1758391200;851.1;758.8395158103141;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-20 19:00:00;1758394800;796.8;732.3196685897866;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-20 20:00:00;1758398400;748.3;690.5537729299352;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-20 21:00:00;1758402000;708.0;651.4789116056397;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-20 22:00:00;1758405600;681.6;617.3603881800967;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-20 23:00:00;1758409200;659.7;601.0498011197127;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 00:00:00;1758412800;645.9;590.9743272191813;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 01:00:00;1758416400;649.5;588.5788732150742;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 02:00:00;1758420000;653.1;591.3869409590352;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 03:00:00;1758423600;679.2;612.1424853395722;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 04:00:00;1758427200;740.7;664.7691772936016;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 05:00:00;1758430800;813.4;714.2102034425002;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 06:00:00;1758434400;882.8;759.7753797690094;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 07:00:00;1758438000;911.5;810.4720718642538;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 08:00:00;1758441600;801.3;789.7665767102088;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 09:00:00;1758445200;746.6;752.8521122541576;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
2025-09-21 10:00:00;1758448800;845.8;776.7673832211988;;2025-09-19;forecast_consumption_hourly_next7_tallinn_20250920_20250926.csv
